,id,lat,lon
14454,1589696719,53.7001213,91.3472807
14455,1589696721,53.7001246,91.3528990
14456,1589696722,53.7001422,91.3522938
14457,1589696723,53.7001599,91.3527402
14458,1589696724,53.7001724,91.3587664
14459,1589696725,53.7001862,91.3469948
14460,1589696726,53.7002003,91.3474427
14461,1589696734,53.7002031,91.3497014
14462,1589696737,53.7003583,91.3465754
14463,1589696740,53.7003583,91.3474522
14464,1589696746,53.7003897,91.3583398
14465,1589696749,53.7004191,91.3592922
14466,1589696752,53.7004767,91.3488342
14467,1589696755,53.7005219,91.3467089
14468,1589696756,53.7005275,91.3490248
14469,1589696760,53.7005680,91.3506519
14470,1589696763,53.7005739,91.3509198
14471,1589696769,53.7006687,91.3598081
14472,1589696771,53.7007186,91.3582605
14473,1589696774,53.7007392,91.3615145
14474,1589696776,53.7007814,91.3465850
14475,1589696779,53.7007927,91.3482719
14476,1589696785,53.7008068,91.3492440
14477,1589696787,53.7008068,91.3496443
14478,1589696789,53.7008322,91.3487674
14479,1589696791,53.7008449,91.3602943
14480,1589696793,53.7008596,91.3589450
14481,1589696796,53.7008684,91.3619114
14482,1589696799,53.7008818,91.3541540
14483,1589696802,53.7008984,91.3543294
14484,1589696805,53.7009183,91.3584390
14485,1589696814,53.7010034,91.3618915
14486,1589696815,53.7010106,91.3540137
14487,1589696818,53.7010269,91.3611673
14488,1589696820,53.7010739,91.3617625
14489,1589696822,53.7010790,91.3515845
14490,1589696824,53.7010804,91.3489009
14491,1589696826,53.7011144,91.3544206
14492,1589696828,53.7011144,91.3549046
14493,1589696838,53.7011393,91.3546871
14494,1589696840,53.7011495,91.3507313
14495,1589696844,53.7011965,91.3510388
14496,1589696846,53.7012061,91.3586772
14497,1589696848,53.7012258,91.3514952
14498,1589696849,53.7012317,91.3506618
14499,1589696850,53.7012348,91.3553886
14500,1589696852,53.7012670,91.3515845
14501,1589696859,53.7013374,91.3508900
14502,1589696861,53.7013374,91.3518622
14503,1589696867,53.7014020,91.3498979
14504,1589696877,53.7014466,91.3555219
14505,1589696880,53.7014487,91.3547222
14506,1589696881,53.7014549,91.3542031
14507,1589696883,53.7014608,91.3513860
14508,1589696898,53.7014902,91.3543504
14509,1589696900,53.7015254,91.3519813
