,0
900,8080556084
901,8080556090
902,8080556091
903,8080556071
904,8080556095
905,8080556072
906,8080556083
907,8080556082
908,8080556073
909,8080556081
910,8080556080
911,8080556079
912,8080556078
913,8080556077
914,8080556076
915,8080556065
916,8080556075
917,8080556074
918,8080556069
919,8080556068
920,613489484
921,8080556067
922,8080556070
923,8080576968
924,8080556066
925,8080576969
926,8080576970
927,8080576971
928,8080576967
929,8080576974
930,8080576973
931,8080576976
932,8080576972
933,8080576977
934,8080576975
935,8080576979
936,8080576980
937,8080576978
938,8080576981
939,613489486
940,8080576985
941,8080576984
942,8080576983
943,8080576982
944,8080576986
945,8080576987
946,8080576988
947,8080576989
948,8080576990
949,8080576992
950,8080576993
951,8080576994
952,8080576995
953,8080576991
954,8080576996
955,8080576997
956,8080577017
957,8080577018
958,8080577011
959,8080577010
960,8080577004
961,8080577009
962,8080577008
963,8080577007
964,8080577019
965,8080577006
966,8080577020
967,8080577005
968,8080577013
969,8080577016
970,8080577012
971,8080577021
972,8080577014
973,8080577015
974,8080577001
975,8080577022
976,8080577000
977,8080577002
978,8080577003
979,8080576999
980,8080577023
981,8080576998
982,613489489
983,8080577024
984,8080577025
985,8080577028
986,8080577029
987,8080577026
988,8080577027
989,8080577030
990,8080577031
991,613489492
992,8080536617
993,8080516216
994,8080516215
995,8080516214
996,8080516208
997,8080516209
998,8080516207
999,8080516213
1000,8080516210
1001,8080516203
1002,8080516212
1003,8080516204
1004,8080516211
1005,8080516206
1006,8080516205
1007,8080516202
1008,8080516201
1009,8080516196
1010,8080516198
1011,8080516197
1012,8080516200
1013,8080516199
1014,8080516195
1015,8080516194
1016,8080516193
1017,8080516192
1018,8080536619
1019,8080516186
1020,8080516187
1021,8080516188
1022,8080516189
1023,8080516190
1024,8080516191
1025,8080516185
1026,8080516184
1027,8080536620
1028,8080536622
1029,8080536618
1030,8080536624
1031,8080536623
1032,8080536625
1033,8080536621
1034,8080536626
1035,613489494
1036,8080536628
1037,8080536627
1038,8080536629
1039,8080536633
1040,8080536634
1041,8080536632
1042,8080536631
1043,8080536638
1044,8080536630
1045,8080536637
1046,8080536636
1047,8080536650
1048,8080536635
1049,8080536640
