,lat_from,lon_from,lat_to,lon_to
14067,53.7423174,91.4429826,53.7422561,91.4429665
14068,53.7422561,91.4429665,53.7422152,91.4432247
14069,53.7422152,91.4432247,53.7421579,91.4432870
14070,53.7421579,91.4432870,53.7420829,91.4429849
14071,53.7420829,91.4429849,53.7421786,91.4429056
14072,53.7421786,91.4429056,53.7422442,91.4427263
14073,53.7422442,91.4427263,53.7421323,91.4424947
14074,53.7375813,91.4419243,53.7380746,91.4423781
14075,53.7380746,91.4423781,53.7381286,91.4423790
14076,53.7381286,91.4423790,53.7381804,91.4424458
14077,53.7381804,91.4424458,53.7382581,91.4424873
14078,53.7382581,91.4424873,53.7383168,91.4424943
14079,53.7383168,91.4424943,53.7383686,91.4425496
14080,53.7383686,91.4425496,53.7383809,91.4426049
14081,53.7383809,91.4426049,53.7384627,91.4426557
14082,53.7384627,91.4426557,53.7385851,91.4428039
14083,53.7415348,91.4425639,53.7415198,91.4423794
14084,53.7415198,91.4423794,53.7413957,91.4422802
14085,53.7413957,91.4422802,53.7414079,91.4421903
14086,53.7414079,91.4421903,53.7413425,91.4420796
14087,53.7413425,91.4420796,53.7412429,91.4420958
14088,53.7412429,91.4420958,53.7411120,91.4420151
14089,53.7411120,91.4420151,53.7410929,91.4418813
14090,53.7410929,91.4418813,53.7409933,91.4418375
14091,53.7409933,91.4418375,53.7409102,91.4416115
14092,53.7430396,91.4468344,53.7431523,91.4468532
14093,53.7431523,91.4468532,53.7431839,91.4468547
14094,53.7431839,91.4468547,53.7432452,91.4468577
14095,53.7432452,91.4468577,53.7433229,91.4467775
14096,53.7433229,91.4467775,53.7433649,91.4466871
14097,53.7433649,91.4466871,53.7434760,91.4466782
14098,53.7434760,91.4466782,53.7436162,91.4464720
14099,53.7436162,91.4464720,53.7436860,91.4463389
14100,53.7436860,91.4463389,53.7438417,91.4460420
14101,53.7438417,91.4460420,53.7438627,91.4457448
14102,53.7438627,91.4457448,53.7437849,91.4451780
14103,53.7437849,91.4451780,53.7437156,91.4446366
14104,53.7437156,91.4446366,53.7437438,91.4443267
14105,53.7437438,91.4443267,53.7437684,91.4442454
14106,53.7437684,91.4442454,53.7438149,91.4442165
14107,53.7438149,91.4442165,53.7438418,91.4442510
14108,53.7438418,91.4442510,53.7438497,91.4443258
14109,53.7438497,91.4443258,53.7438040,91.4446600
14110,53.7438040,91.4446600,53.7438186,91.4450262
14111,53.7438186,91.4450262,53.7439746,91.4455657
14112,53.7439746,91.4455657,53.7440761,91.4459005
14113,53.7440761,91.4459005,53.7440572,91.4460688
14114,53.7440572,91.4460688,53.7441037,91.4463931
14115,53.7441037,91.4463931,53.7441332,91.4465932
14116,53.7441332,91.4465932,53.7441682,91.4468212
14117,53.7441682,91.4468212,53.7443807,91.4469734
14118,53.7443807,91.4469734,53.7444416,91.4470334
14119,53.7444416,91.4470334,53.7446267,91.4470345
14120,53.7446267,91.4470345,53.7446870,91.4471016
14121,53.7446870,91.4471016,53.7446333,91.4471990
14122,53.7446333,91.4471990,53.7445505,91.4472776
14123,53.7445505,91.4472776,53.7443908,91.4473081
14124,53.7443908,91.4473081,53.7442792,91.4471961
14125,53.7442792,91.4471961,53.7441131,91.4471659
14126,53.7441131,91.4471659,53.7440456,91.4471536
14127,53.7440456,91.4471536,53.7439975,91.4472318
14128,53.7439975,91.4472318,53.7438996,91.4473076
14129,53.7438996,91.4473076,53.7437632,91.4473448
14130,53.7437632,91.4473448,53.7436662,91.4473379
14131,53.7436662,91.4473379,53.7435236,91.4473949
14132,53.7435236,91.4473949,53.7433756,91.4474368
14133,53.7433756,91.4474368,53.7432893,91.4474969
14134,53.7432893,91.4474969,53.7431421,91.4475313
14135,53.7431421,91.4475313,53.7429898,91.4476686
14136,53.7429898,91.4476686,53.7422726,91.4477395
14137,53.7430706,91.4438507,53.7430690,91.4437714
14138,53.7430690,91.4437714,53.7430595,91.4437019
14139,53.7430595,91.4437019,53.7430670,91.4436528
14140,53.7430670,91.4436528,53.7430675,91.4429179
14141,53.7430675,91.4429179,53.7431029,91.4428214
14142,53.7431029,91.4428214,53.7431049,91.4427546
14143,53.7431049,91.4427546,53.7430758,91.4427161
14144,53.7430758,91.4427161,53.7430804,91.4423857
14145,53.7430804,91.4423857,53.7430762,91.4423494
14146,53.7430762,91.4423494,53.7430647,91.4420805
14147,53.7370548,91.4410965,53.7370029,91.4409789
14148,53.7370029,91.4409789,53.7369266,91.4409789
14149,53.7369266,91.4409789,53.7368488,91.4409166
14150,53.7368488,91.4409166,53.7367561,91.4409696
14151,53.7367561,91.4409696,53.7366920,91.4409374
14152,53.7366920,91.4409374,53.7366129,91.4410111
14153,53.7366129,91.4410111,53.7365160,91.4410503
14154,53.7365160,91.4410503,53.7364492,91.4410988
14155,53.7364492,91.4410988,53.7363878,91.4412855
14156,53.7363878,91.4412855,53.7364192,91.4413824
14157,53.7364192,91.4413824,53.7364825,91.4411746
14158,53.7409102,91.4416115,53.7408047,91.4406739
14159,53.7408047,91.4406739,53.7407564,91.4404815
14160,53.7407564,91.4404815,53.7406699,91.4404645
14161,53.7406699,91.4404645,53.7407133,91.4403552
14162,53.7407133,91.4403552,53.7406949,91.4403242
14163,53.7406949,91.4403242,53.7405559,91.4404228
